CLASSES             PROBABILITIES
[u'B', u'H', u'S']  [0.07357721775770187, 0.050977673381567, 0.8754451274871826]
[u'B', u'H', u'S']  [0.23893843591213226, 0.24577035009860992, 0.5152912139892578]
[u'B', u'H', u'S']  [0.3968159258365631, 0.3748949468135834, 0.22828903794288635]
[u'B', u'H', u'S']  [0.09955646097660065, 0.07710442692041397, 0.8233391046524048]
[u'B', u'H', u'S']  [0.09955646097660065, 0.07710442692041397, 0.8233391046524048]
[u'B', u'H', u'S']  [0.09955646097660065, 0.07710442692041397, 0.8233391046524048]
[u'B', u'H', u'S']  [0.09955646097660065, 0.07710442692041397, 0.8233391046524048]
[u'B', u'H', u'S']  [0.09955646097660065, 0.07710442692041397, 0.8233391046524048]
[u'B', u'H', u'S']  [0.09955646097660065, 0.07710442692041397, 0.8233391046524048]
[u'B', u'H', u'S']  [0.09955646097660065, 0.07710442692041397, 0.8233391046524048]
[u'B', u'H', u'S']  [0.09955646097660065, 0.07710442692041397, 0.8233391046524048]
[u'B', u'H', u'S']  [0.09955646097660065, 0.07710442692041397, 0.8233391046524048]
[u'B', u'H', u'S']  [0.09955646097660065, 0.07710442692041397, 0.8233391046524048]
[u'B', u'H', u'S']  [0.21790097653865814, 0.2199815958738327, 0.5621173977851868]
[u'B', u'H', u'S']  [0.4351847767829895, 0.3921198844909668, 0.17269539833068848]
[u'B', u'H', u'S']  [0.17405931651592255, 0.16725172102451324, 0.6586889624595642]
[u'B', u'H', u'S']  [0.48989102244377136, 0.4400026202201843, 0.0701063796877861]
[u'B', u'H', u'S']  [0.471614271402359, 0.44050729274749756, 0.08787839859724045]
[u'B', u'H', u'S']  [0.14808563888072968, 0.13508665561676025, 0.7168276906013489]
[u'B', u'H', u'S']  [0.16366343200206757, 0.15533427894115448, 0.6810023188591003]
[u'B', u'H', u'S']  [0.16366343200206757, 0.15533427894115448, 0.6810023188591003]
[u'B', u'H', u'S']  [0.16366343200206757, 0.15533427894115448, 0.6810023188591003]
[u'B', u'H', u'S']  [0.16366343200206757, 0.15533427894115448, 0.6810023188591003]
[u'B', u'H', u'S']  [0.16366343200206757, 0.15533427894115448, 0.6810023188591003]
[u'B', u'H', u'S']  [0.16366343200206757, 0.15533427894115448, 0.6810023188591003]
[u'B', u'H', u'S']  [0.16366343200206757, 0.15533427894115448, 0.6810023188591003]
[u'B', u'H', u'S']  [0.16366343200206757, 0.15533427894115448, 0.6810023188591003]
[u'B', u'H', u'S']  [0.16366343200206757, 0.15533427894115448, 0.6810023188591003]
[u'B', u'H', u'S']  [0.16366343200206757, 0.15533427894115448, 0.6810023188591003]
